Moeda	Sigla_Moeda	Preco	Und_Monetaria	Var	Periodo_Var	Data_Captura	Hora_Captura	Fornecimento_Total
eCash	XEC	0.0	BRL	-0.22	1d	2023-09-05	10:53:20	19489948423093.0
Chiliz	CHZ	0.29	BRL	-0.74	1d	2023-09-05	10:53:20	8888888888.0
Klaytn	KLAY	0.66	BRL	0.48	1d	2023-09-05	10:53:20	5775564179.06
Frax Share	FXS	27.48	BRL	-0.82	1d	2023-09-05	10:53:20	99681495.59
Zcash	ZEC	122.23	BRL	0.15	1d	2023-09-05	10:53:20	16328268.75
Conflux	CFX	0.63	BRL	-0.03	1d	2023-09-05	10:53:20	5278164274.0
Casper	CSPR	0.17	BRL	-0.06	1d	2023-09-05	10:53:20	11988577718.0
BitTorrent(New)	BTT	0.0	BRL	-0.01	1d	2023-09-05	10:53:20	990000000000000.0
Huobi Token	HT	11.8	BRL	-0.08	1d	2023-09-05	10:53:20	203980445.0
Curve DAO Token	CRV	2.2	BRL	0.94	1d	2023-09-05	10:53:20	2006134751.26
KuCoin Token	KCS	19.52	BRL	-2.63	1d	2023-09-05	10:53:20	144232986.43
Sui	SUI	2.38	BRL	-1.14	1d	2023-09-05	10:53:20	10000000000.0
GateToken	GT	19.54	BRL	0.2	1d	2023-09-05	10:53:20	300000000.0
Gala	GALA	0.08	BRL	-2.46	1d	2023-09-05	10:53:20	25888578434.49
Mina	MINA	1.86	BRL	0.64	1d	2023-09-05	10:53:20	1070613532.84
Terra Classic	LUNC	0.0	BRL	1.29	1d	2023-09-05	10:53:20	6836863877007.38
Trust Wallet Token	TWT	3.97	BRL	-0.85	1d	2023-09-05	10:53:20	999668148.0
dYdX	DYDX	10.44	BRL	1.08	1d	2023-09-05	10:53:20	1000000000.0
Nexo	NEXO	2.9	BRL	0.14	1d	2023-09-05	10:53:20	1000000000.0
Pepe	PEPE	0.0	BRL	0.64	1d	2023-09-05	10:53:20	420690000000000.0
Compound	COMP	199.54	BRL	-0.31	1d	2023-09-05	10:53:20	10000000.0
Gemini Dollar	GUSD	4.97	BRL	-0.14	1d	2023-09-05	10:53:20	310074646.15
APENFT	NFT	0.0	BRL	-1.18	1d	2023-09-05	10:53:20	999990000000000.0
Flare	FLR	0.07	BRL	-1.31	1d	2023-09-05	10:53:20	100559787198.0
Dash	DASH	127.74	BRL	0.52	1d	2023-09-05	10:53:20	11440547.87
SafePal	SFP	2.91	BRL	3.86	1d	2023-09-05	10:53:20	500000000.0
GMX	GMX	160.89	BRL	0.98	1d	2023-09-05	10:53:20	9435054.36
Astar	ASTR	0.27	BRL	2.51	1d	2023-09-05	10:53:20	7915282797.0
WOO Network	WOO	0.82	BRL	-2.27	1d	2023-09-05	10:53:20	2250658857.9
Arweave	AR	20.71	BRL	0.08	1d	2023-09-05	10:53:20	65454185.0
PancakeSwap	CAKE	6.16	BRL	-0.4	1d	2023-09-05	10:53:20	389625376.02
Oasis Network	ROSE	0.2	BRL	0.93	1d	2023-09-05	10:53:20	10000000000.0
Gnosis	GNO	504.41	BRL	0.5	1d	2023-09-05	10:53:20	3000000.0
MX TOKEN	MX	12.77	BRL	0.07	1d	2023-09-05	10:53:20	433522334.0
Zilliqa	ZIL	0.08	BRL	-0.29	1d	2023-09-05	10:53:20	18013777960.68
Loopring	LRC	0.93	BRL	1.0	1d	2023-09-05	10:53:20	1373873397.44
Basic Attention Token	BAT	0.83	BRL	-0.7	1d	2023-09-05	10:53:20	1500000000.0
1inch Network	1INCH	1.19	BRL	1.24	1d	2023-09-05	10:53:20	1500000000.0
Chia	XCH	140.96	BRL	-1.31	1d	2023-09-05	10:53:20	29376269.0
Bone ShibaSwap	BONE	5.12	BRL	-3.92	1d	2023-09-05	10:53:20	230003022.82
SingularityNET	AGIX	0.95	BRL	2.73	1d	2023-09-05	10:53:20	1324917189.06
Enjin Coin	ENJ	1.15	BRL	-0.27	1d	2023-09-05	10:53:20	1000000000.0
Ethereum Name Service	ENS	38.26	BRL	2.25	1d	2023-09-05	10:53:20	100000000.0
Livepeer	LPT	38.36	BRL	2.27	1d	2023-09-05	10:53:20	28914060.34
Sei	SEI	0.61	BRL	-1.75	1d	2023-09-05	10:53:20	10000000000.0
Qtum	QTUM	10.56	BRL	0.31	1d	2023-09-05	10:53:20	107822406.0
Helium	HNT	7.61	BRL	-0.44	1d	2023-09-05	10:53:20	223000000.0
Bitcoin Gold	BTG	62.42	BRL	-1.7	1d	2023-09-05	10:53:20	17513923.59
Celo	CELO	2.12	BRL	0.76	1d	2023-09-05	10:53:20	1000000000.0
NEM	XEM	0.12	BRL	0.27	1d	2023-09-05	10:53:20	8999999999.0
Convex Finance	CVX	13.1	BRL	0.77	1d	2023-09-05	10:53:20	98861318.6
Fetch.ai	FET	1.28	BRL	-0.5	1d	2023-09-05	10:53:20	1152997575.0
Mask Network	MASK	12.73	BRL	0.35	1d	2023-09-05	10:53:20	100000000.0
Akash Network	AKT	4.79	BRL	3.87	1d	2023-09-05	10:53:20	217921293.61
Ocean Protocol	OCEAN	1.65	BRL	3.05	1d	2023-09-05	10:53:20	613099141.0
Decred	DCR	65.23	BRL	1.01	1d	2023-09-05	10:53:20	15455446.76
Theta Fuel	TFUEL	0.16	BRL	0.01	1d	2023-09-05	10:53:20	6268633971.0
Ravencoin	RVN	0.07	BRL	0.08	1d	2023-09-05	10:53:20	12937327674.71
aelf	ELF	1.52	BRL	0.1	1d	2023-09-05	10:53:20	1000000000.0
tomiNet	TOMI	14.67	BRL	22.57	1d	2023-09-05	10:53:20	112665826.0
Ankr	ANKR	0.09	BRL	0.92	1d	2023-09-05	10:53:20	10000000000.0
JasmyCoin	JASMY	0.02	BRL	1.95	1d	2023-09-05	10:53:20	50000000000.0
JUST	JST	0.1	BRL	0.38	1d	2023-09-05	10:53:20	9900000000.0
Holo	HOT	0.01	BRL	1.1	1d	2023-09-05	10:53:20	177619433541.14
yearn.finance	YFI	26828.57	BRL	-0.04	1d	2023-09-05	10:53:20	36646.54
Osmosis	OSMO	1.77	BRL	0.37	1d	2023-09-05	10:53:20	587378721.0
Balancer	BAL	16.76	BRL	0.69	1d	2023-09-05	10:53:20	58959852.83
STEPN	GMT	0.78	BRL	1.3	1d	2023-09-05	10:53:20	5426899720.68
Aragon	ANT	21.22	BRL	-0.76	1d	2023-09-05	10:53:20	43166685.0
Audius	AUDIO	0.75	BRL	2.33	1d	2023-09-05	10:53:20	1201020974.0
Blur	BLUR	0.93	BRL	0.03	1d	2023-09-05	10:53:20	3000000000.0
Waves	WAVES	7.37	BRL	-0.35	1d	2023-09-05	10:53:20	112406566.0
Golem	GLM	0.82	BRL	0.21	1d	2023-09-05	10:53:20	1000000000.0
Kusama	KSM	94.87	BRL	-0.08	1d	2023-09-05	10:53:20	9651217.45
FLOKI	FLOKI	0.0	BRL	0.29	1d	2023-09-05	10:53:20	9942276988572.93
ICON	ICX	0.8	BRL	0.2	1d	2023-09-05	10:53:20	966330886.9
Threshold	T	0.09	BRL	0.33	1d	2023-09-05	10:53:20	10515000000.0
Siacoin	SC	0.01	BRL	-1.36	1d	2023-09-05	10:53:20	55117035000.0
Terra	LUNA	2.05	BRL	0.18	1d	2023-09-05	10:53:20	1004262701.0
Illuvium	ILV	206.25	BRL	0.13	1d	2023-09-05	10:53:20	7791555.87
0x Protocol	ZRX	0.86	BRL	1.82	1d	2023-09-05	10:53:20	1000000000.0
EthereumPoW	ETHW	6.74	BRL	-2.68	1d	2023-09-05	10:53:20	107818999.05
Solar	SXP	1.24	BRL	0.5	1d	2023-09-05	10:53:20	576648933.74
Band Protocol	BAND	5.2	BRL	0.81	1d	2023-09-05	10:53:20	138054143.09
Axelar	AXL	1.76	BRL	0.96	1d	2023-09-05	10:53:20	1092097424.01
ssv.network	SSV	67.9	BRL	0.13	1d	2023-09-05	10:53:20	11012871.0
Hive	HIVE	1.35	BRL	-1.44	1d	2023-09-05	10:53:20	500749242.94
Worldcoin	WLD	5.27	BRL	-5.66	1d	2023-09-05	10:53:20	10000000000.0
Merit Circle	MC	1.58	BRL	4.47	1d	2023-09-05	10:53:20	632384087.95
Biconomy	BICO	1.03	BRL	0.58	1d	2023-09-05	10:53:20	1000000000.0
Ontology	ONT	0.77	BRL	1.02	1d	2023-09-05	10:53:20	1000000000.0
SushiSwap	SUSHI	2.87	BRL	1.35	1d	2023-09-05	10:53:20	249583225.47
IOST	IOST	0.03	BRL	0.11	1d	2023-09-05	10:53:20	18708894189.0
IoTeX	IOTX	0.07	BRL	0.99	1d	2023-09-05	10:53:20	9444613334.0
Moonbeam	GLMR	0.9	BRL	-1.6	1d	2023-09-05	10:53:20	1083089683.0
Harmony	ONE	0.05	BRL	0.95	1d	2023-09-05	10:53:20	14030453754.44
WAX	WAXP	0.19	BRL	-1.07	1d	2023-09-05	10:53:20	4042476007.16
Kadena	KDA	2.42	BRL	7.82	1d	2023-09-05	10:53:20	1000000000.0
TomoChain	TOMO	6.11	BRL	1.59	1d	2023-09-05	10:53:20	100000000.0
MAGIC	MAGIC	2.51	BRL	0.87	1d	2023-09-05	10:53:20	339645510.32
TerraClassicUSD	USTC	0.06	BRL	-0.08	1d	2023-09-05	10:53:20	9794593197.38
Nervos Network	CKB	0.01	BRL	2.15	1d	2023-09-05	10:53:20	42711955501.21
BORA	BORA	0.56	BRL	-1.2	1d	2023-09-05	10:53:20	1205750000.0
DigiByte	DGB	0.03	BRL	0.09	1d	2023-09-05	10:53:20	16480700543.65
Stargate Finance	STG	2.62	BRL	0.55	1d	2023-09-05	10:53:20	1000000000.0
MobileCoin	MOB	2.72	BRL	0.09	1d	2023-09-05	10:53:20	250000000.0
Vulcan Forged PYR	PYR	19.38	BRL	-10.04	1d	2023-09-05	10:53:20	50000000.0
Ribbon Finance	RBN	0.97	BRL	-0.3	1d	2023-09-05	10:53:20	1000000000.0
DAO Maker	DAO	3.59	BRL	-0.96	1d	2023-09-05	10:53:20	274810687.0
UMA	UMA	6.97	BRL	3.38	1d	2023-09-05	10:53:20	115215985.31
Flux	FLUX	1.59	BRL	1.18	1d	2023-09-05	10:53:20	440000000.0
Horizen	ZEN	35.59	BRL	-0.3	1d	2023-09-05	10:53:20	14089312.5
SKALE	SKL	0.11	BRL	2.44	1d	2023-09-05	10:53:20	5447166667.0
Galxe	GAL	5.59	BRL	-1.61	1d	2023-09-05	10:53:20	200000000.0
Cartesi	CTSI	0.64	BRL	-0.33	1d	2023-09-05	10:53:20	1000000000.0
Everscale	EVER	0.26	BRL	0.24	1d	2023-09-05	10:53:20	2091365495.0
API3	API3	5.39	BRL	-4.64	1d	2023-09-05	10:53:20	125324588.0
Kyber Network Crystal v2	KNC	2.68	BRL	5.28	1d	2023-09-05	10:53:20	228578084.36
Centrifuge	CFG	1.24	BRL	9.15	1d	2023-09-05	10:53:20	430011123.0
Reserve Rights	RSR	0.01	BRL	3.38	1d	2023-09-05	10:53:20	100000000000.0
Lisk	LSK	3.43	BRL	-0.74	1d	2023-09-05	10:53:20	144818773.0
UniBot	UNIBOT	442.14	BRL	0.1	1d	2023-09-05	10:53:20	1000000.0
Numeraire	NMR	69.87	BRL	-11.9	1d	2023-09-05	10:53:20	10830388.49
Storj	STORJ	1.14	BRL	-1.6	1d	2023-09-05	10:53:20	424999998.0
Core	CORE	2.79	BRL	-4.27	1d	2023-09-05	10:53:20	2100000000.0
Celer Network	CELR	0.06	BRL	0.67	1d	2023-09-05	10:53:20	10000000000.0
Alchemy Pay	ACH	0.06	BRL	-0.36	1d	2023-09-05	10:53:20	10000000000.0
Nano	XNO	3.2	BRL	-1.02	1d	2023-09-05	10:53:20	133248297.2
Open Campus	EDU	2.25	BRL	-0.06	1d	2023-09-05	10:53:20	1000000000.0
Dora Factory (new)	DORA	9.77	BRL	2.09	1d	2023-09-05	10:53:20	10000000000.0
Lido Staked ETH	stETH	8095.97	BRL	-0.2	1d	2023-09-05	10:53:20	8578141.43
Wrapped TRON	WTRX	0.38	BRL	0.37	1d	2023-09-05	10:53:20	101676078190.21
Wrapped HBAR	WHBAR	0.24	BRL	0.59	1d	2023-09-05	10:53:20	50000000000.0
Bitcoin BEP2	BTCB	128098.35	BRL	-0.71	1d	2023-09-05	10:53:20	60501.0
Wrapped EOS	WEOS	4.35	BRL	-0.05	1d	2023-09-05	10:53:20	1101752241.5
Frax	FRAX	4.96	BRL	0.03	1d	2023-09-05	10:53:20	1044853133.26
Kaspa	KAS	0.17	BRL	-0.01	1d	2023-09-05	10:53:20	20500504585.8
HEX	HEX	0.02	BRL	3.0	1d	2023-09-05	10:53:20	633542658973.0
TNC Coin	TNC	0.53	BRL	1.12	1d	2023-09-05	10:53:20	196719999947.0
Bitget Token	BGB	2.17	BRL	1.64	1d	2023-09-05	10:53:20	2000000000.0
Rollbit Coin	RLB	0.82	BRL	3.69	1d	2023-09-05	10:53:20	3296951621.0
Wrapped BNB	WBNB	1068.18	BRL	-0.67	1d	2023-09-05	10:53:20	2521208.42
Radix	XRD	0.26	BRL	-0.51	1d	2023-09-05	10:53:20	12646281056.3
First Digital USD	FDUSD	4.97	BRL	-0.05	1d	2023-09-05	10:53:20	382786795.42
BitTorrent	BTTOLD	0.0	BRL	126.98	1d	2023-09-05	10:53:20	990000000000.0
FTX Token	FTT	5.18	BRL	-2.12	1d	2023-09-05	10:53:20	328895103.81
Wrapped Kava	WKAVA	3.2	BRL	-95.53	1d	2023-09-05	10:53:20	497668959.0
USDJ	USDJ	5.53	BRL	0.08	1d	2023-09-05	10:53:20	272990250.25
Liquity USD	LUSD	4.96	BRL	-0.0	1d	2023-09-05	10:53:20	290638500.4
Huobi BTC	HBTC	127660.25	BRL	-0.4	1d	2023-09-05	10:53:20	8969.5
DeFiChain	DFI	1.5	BRL	0.18	1d	2023-09-05	10:53:20	1061435352.6
Edgecoin	EDGT	4.97	BRL	-0.03	1d	2023-09-05	10:53:20	1000000000.0
Aleph Zero	AZERO	3.79	BRL	-2.09	1d	2023-09-05	10:53:20	336231179.9
Beldex	BDX	0.17	BRL	1.81	1d	2023-09-05	10:53:20	9919818790.95
WEMIX	WEMIX	2.9	BRL	3.76	1d	2023-09-05	10:53:20	972837347.22
LUKSO	LYX	30.1	BRL	-5.5	1d	2023-09-05	10:53:20	42000000.0
Baby Doge Coin	BabyDoge	0.0	BRL	-5.38	1d	2023-09-05	10:53:20	2.113011236354442e+17
Wrapped Beacon ETH	WBETH	8260.99	BRL	0.16	1d	2023-09-05	10:53:20	98652.11
FINSCHIA	FNSA	111.73	BRL	1.13	1d	2023-09-05	10:53:20	7133594.86
Pendle	PENDLE	2.99	BRL	-2.74	1d	2023-09-05	10:53:20	258446028.24
Tribe	TRIBE	1.33	BRL	1.02	1d	2023-09-05	10:53:20	1000000000.0
Symbol	XYM	0.12	BRL	-1.86	1d	2023-09-05	10:53:20	8249302102.55
Polymath	POLY	0.72	BRL	19.05	1d	2023-09-05	10:53:20	1000000000.0
STASIS EURO	EURS	5.34	BRL	-0.55	1d	2023-09-05	10:53:20	124125940.0
Ronin	RON	2.59	BRL	-1.14	1d	2023-09-05	10:53:20	1000000000.0
SwissBorg	CHSB	0.65	BRL	0.04	1d	2023-09-05	10:53:20	1000000000.0
FLEX	FLEX	5.91	BRL	1.69	1d	2023-09-05	10:53:20	98664938.7
LUKSO (Old)	LYXe	30.42	BRL	-2.88	1d	2023-09-05	10:53:20	100000000.0
USDX [Kava]	USDX	4.65	BRL	-0.1	1d	2023-09-05	10:53:20	107526703.0
Gains Network	GNS	15.88	BRL	-0.24	1d	2023-09-05	10:53:20	30453619.0
OriginTrail	TRAC	1.16	BRL	-3.82	1d	2023-09-05	10:53:20	500000000.0
Rootstock Smart Bitcoin	RBTC	128634.77	BRL	-0.68	1d	2023-09-05	10:53:20	20999763.56
Echelon Prime	PRIME	16.4	BRL	4.42	1d	2023-09-05	10:53:20	111111111.1
JOE	JOE	1.23	BRL	-2.03	1d	2023-09-05	10:53:20	464573155.0
Pundi X (New)	PUNDIX	1.6	BRL	-1.0	1d	2023-09-05	10:53:20	258491637.23
Status	SNT	0.11	BRL	0.13	1d	2023-09-05	10:53:20	6804870174.88
STP	STPT	0.21	BRL	0.05	1d	2023-09-05	10:53:20	1942420283.03
SPACE ID	ID	1.08	BRL	2.8	1d	2023-09-05	10:53:20	1996892622.2
MiL.k	MLK	1.31	BRL	0.45	1d	2023-09-05	10:53:20	986245419.0
DeXe	DEXE	10.95	BRL	1.63	1d	2023-09-05	10:53:20	96504599.34
PlayDapp	PLA	0.71	BRL	0.32	1d	2023-09-05	10:53:20	700000000.0
Coin98	C98	0.69	BRL	0.14	1d	2023-09-05	10:53:20	1000000000.0
iExec RLC	RLC	5.45	BRL	3.53	1d	2023-09-05	10:53:20	86999784.99
Decimal	DEL	0.08	BRL	-0.34	1d	2023-09-05	10:53:20	4948570012.71
VVS Finance	VVS	0.0	BRL	-1.43	1d	2023-09-05	10:53:20	74621458065797.92
Decentralized Social	DESO	43.77	BRL	0.41	1d	2023-09-05	10:53:20	10808492.0
Keep Network	KEEP	0.41	BRL	-2.43	1d	2023-09-05	10:53:20	999848780.8
Dogelon Mars	ELON	0.0	BRL	0.59	1d	2023-09-05	10:53:20	1000000000000000.0
Amp	AMP	0.01	BRL	-1.16	1d	2023-09-05	10:53:20	99213408535.0
Metal DAO	MTL	5.76	BRL	4.08	1d	2023-09-05	10:53:20	66588888.0
Liquity	LQTY	4.07	BRL	0.99	1d	2023-09-05	10:53:20	100000000.0
Polymesh	POLYX	0.52	BRL	-0.05	1d	2023-09-05	10:53:20	849093572.1
inSure DeFi	SURE	0.01	BRL	-0.52	1d	2023-09-05	10:53:20	88000000000.0
Prom	PROM	20.25	BRL	-4.54	1d	2023-09-05	10:53:20	19250000.0
Statter Network	STT	7.31	BRL	-0.03	1d	2023-09-05	10:53:20	99994281.0
Ontology Gas	ONG	1.04	BRL	0.36	1d	2023-09-05	10:53:20	1000000000.0
Metars Genesis	MRS	5.81	BRL	-9.83	1d	2023-09-05	10:53:20	1000000000.0
dKargo	DKA	0.12	BRL	-0.2	1d	2023-09-05	10:53:20	5000000000.0
Bitgert	BRISE	0.0	BRL	-1.31	1d	2023-09-05	10:53:20	1000000000000000.0
Metacraft	MCT	6.84	BRL	10.35	1d	2023-09-05	10:53:20	1641963300.0
Hashflow	HFT	1.7	BRL	2.44	1d	2023-09-05	10:53:20	1000000000.0
Ordinals	ORDI	16.86	BRL	0.35	1d	2023-09-05	10:53:20	21000000.0
Rootstock Infrastructure Framework	RIF	0.36	BRL	1.96	1d	2023-09-05	10:53:20	1000000000.0
Radworks	RAD	6.85	BRL	0.86	1d	2023-09-05	10:53:20	99998580.0
Vega Protocol	VEGA	6.48	BRL	-8.36	1d	2023-09-05	10:53:20	64999723.0
Telcoin	TEL	0.01	BRL	0.05	1d	2023-09-05	10:53:20	100000000000.0
MVL	MVL	0.01	BRL	-0.51	1d	2023-09-05	10:53:20	27802958863.1
Wrapped NXM	WNXM	146.05	BRL	0.44	1d	2023-09-05	10:53:20	2379601.29
HarryPotterObamaSonic10Inu (ERC-20)	BITCOIN	0.34	BRL	8.44	1d	2023-09-05	10:53:20	999798155.0
Civic	CVC	0.34	BRL	-0.2	1d	2023-09-05	10:53:20	1000000000.0
UnlimitedIP	UIP	0.2	BRL	19.4	1d	2023-09-05	10:53:20	2839985525.01
Radiant Capital	RDNT	1.12	BRL	1.04	1d	2023-09-05	10:53:20	1000000000.0
Steem	STEEM	0.77	BRL	0.1	1d	2023-09-05	10:53:20	409190981.0
Powerledger	POWR	0.66	BRL	-0.39	1d	2023-09-05	10:53:20	999506123.0
Energy Web Token	EWT	11.23	BRL	-1.18	1d	2023-09-05	10:53:20	48638535.44
ABBC Coin	ABBC	0.24	BRL	-1.1	1d	2023-09-05	10:53:20	1500000000.0
Gitcoin	GTC	5.28	BRL	-3.35	1d	2023-09-05	10:53:20	100000000.0
Akropolis	AKRO	0.08	BRL	2.89	1d	2023-09-05	10:53:20	5000000000.0
NKN	NKN	0.44	BRL	1.49	1d	2023-09-05	10:53:20	754831361.68
IQ	IQ	0.02	BRL	-0.87	1d	2023-09-05	10:53:20	16652993052.93
Request	REQ	0.33	BRL	1.0	1d	2023-09-05	10:53:20	999717851.45
Orbs	ORBS	0.1	BRL	-0.2	1d	2023-09-05	10:53:20	10000000000.0
Syscoin	SYS	0.43	BRL	-0.15	1d	2023-09-05	10:53:20	747394569.79
OMG Network	OMG	2.29	BRL	1.35	1d	2023-09-05	10:53:20	140245398.25
NYM	NYM	0.58	BRL	-1.45	1d	2023-09-05	10:53:20	1000000000.0
CyberConnect	CYBER	28.92	BRL	-15.0	1d	2023-09-05	10:53:20	100000000.0
Bluzelle	BLZ	0.76	BRL	17.93	1d	2023-09-05	10:53:20	500000000.0
Marlin	POND	0.04	BRL	-0.39	1d	2023-09-05	10:53:20	8087375977.0
Stella	ALPHA	0.38	BRL	0.85	1d	2023-09-05	10:53:20	1000000000.0
Trexcoin	TREX	0.31	BRL	23.21	1d	2023-09-05	10:53:20	10006849552.6
MediBloc	MED	0.04	BRL	-1.06	1d	2023-09-05	10:53:20	8433374830.96
Bancor	BNT	2.11	BRL	0.38	1d	2023-09-05	10:53:20	161196921.34
